Gruppe/Kurstag,Familie,Gattung,Art,Trivialname,Bestimmung Klausur optisch,Bestimmung Klausur akustisch
,Muscicapidae,Erithacus,rubecula,Rotkehlchen,Art
,Muscicapidae,Phoenicurus,ochruros,Hausrotschwanz,Art,Art
,Regulidae,Regulus,regulus,Wintergoldhähnchen,Art,Art
,Troglodytidae,Troglodytes,troglodytes,Zaunkönig,Art,Art
,Phylloscopidae,Phylloscopus,collybita,Zilpzalp,,Art
,Picidae,Picus,viridis,Grünspecht,Art,Art
,Sittidae,Sitta,europaea,Kleiber,Art
,Columbiformes,Columba,palumbus,Ringeltaube,Art,Art
,Laniidae,Lanius,collurio,Neuntöter,Art
Chiroptera,Vespertilionidae,Eptesicus,serotinus,Breitflügelfledermaus,,Art (theoretisch)
,Vespertilionidae,Pipistrellus,pipistrellus,Zwergfledermaus,,Art (theoretisch)
,Vespertilionidae,Myosotis,daubentonii,Wasserfledermaus,,Art (theoretisch)
,Vespertilionidae,Nyctalus,noctula,Großer Abendsegler,,Art (theoretisch)
,Vespertilionidae,Pipistrellus,pygmaeus,Mückenfledermaus,,Art (theoretisch)
,Vespertilionidae,Pipistrellus,nathusii,Rauhautfledermaus,,Art (theoretisch)
